IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_1000_N,RATE_PER_1000_NL,RATE_PER_1000_NU
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1991,0.75,0.1,1.2
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1994,0.77,0.6,0.92
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2000,0.61,0.52,0.7
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2002,0.56,0.48,0.64
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2007,0.42,0.36,0.49
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2008,0.38,0.32,0.45
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2011,0.32,0.25,0.39
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2017,0.22,0.15,0.29
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2019,0.19,0.13,0.26
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1990,0.33,0.01,0.68
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1993,0.79,0.56,0.99
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1995,0.74,0.59,0.87
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2001,0.58,0.49,0.66
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2014,0.26,0.2,0.34
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2016,0.23,0.17,0.31
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2020,0.18,0.12,0.25
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2022,0.15,0.1,0.22
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1992,0.81,0.47,1.1
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,1996,0.72,0.57,0.83
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2003,0.53,0.46,0.61
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2004,0.5,0.44,0.58
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2005,0.48,0.41,0.55
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2006,0.45,0.39,0.52
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2012,0.29,0.23,0.37
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2015,0.25,0.18,0.32
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2018,0.2,0.14,0.28
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2021,0.17,0.11,0.24
77D059C,HIV infections,COUNTRY,052,Barbados,YEAR,2023,0.14,0.1,0.21
