IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2002,8.2,5.1,13
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2008,8.1,6.4,10.3
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2011,7.7,6.6,8.9
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2013,7.3,6.3,8.4
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2014,7.1,6,8.5
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2016,6.8,5.3,8.7
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2018,6.5,4.6,9
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2004,8.2,5.6,11.9
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2020,6.2,4.1,9.4
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2022,6,3.6,9.7
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2000,8.2,4.6,14
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2003,8.2,5.3,12.5
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2005,8.2,5.8,11.4
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2009,8,6.5,9.8
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2015,7,5.7,8.6
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2017,6.7,5,8.9
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2019,6.4,4.4,9.2
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2021,6.1,3.8,9.6
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2001,8.2,4.9,13.5
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2006,8.1,6,11
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2007,8.1,6.2,10.6
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2010,7.8,6.6,9.3
5F8A486,Stunting in children (under 5),COUNTRY,052,Barbados,YEAR,2012,7.5,6.5,8.6
